Adjustable Race	AR-5381
Bearing Ball	BA-8327
BB Ball Bearing	BE-2349
Headset Ball Bearings	BE-2908
Blade	BL-2036
LL Crankarm	CA-5965
ML Crankarm	CA-6738
HL Crankarm	CA-7457
Chainring Bolts	CB-2903
Chainring Nut	CN-6137
Chainring	CR-7833
Crown Race	CR-9981
Chain Stays	CS-2812
Decal 1	DC-8732
Decal 2	DC-9824
Down Tube	DT-2377
Mountain End Caps	EC-M092
Road End Caps	EC-R098
Touring End Caps	EC-T209
Fork End	FE-3760
Freewheel	FH-2981
Flat Washer 1	FW-1000
Flat Washer 6	FW-1200
Flat Washer 2	FW-1400
Flat Washer 9	FW-3400
Flat Washer 4	FW-3800
Flat Washer 3	FW-5160
Flat Washer 8	FW-5800
Flat Washer 5	FW-7160
Flat Washer 7	FW-9160
Fork Crown	FC-3654
Front Derailleur Cage	FC-3982
Front Derailleur Linkage	FL-2301
Guide Pulley	GP-0982
LL Grip Tape	GT-0820
ML Grip Tape	GT-1209
HL Grip Tape	GT-2908
Thin-Jam Hex Nut 9	HJ-1213
Thin-Jam Hex Nut 10	HJ-1220
Thin-Jam Hex Nut 1	HJ-1420
Thin-Jam Hex Nut 2	HJ-1428
Thin-Jam Hex Nut 15	HJ-3410
Thin-Jam Hex Nut 16	HJ-3416
Thin-Jam Hex Nut 5	HJ-3816
Thin-Jam Hex Nut 6	HJ-3824
Thin-Jam Hex Nut 3	HJ-5161
Thin-Jam Hex Nut 4	HJ-5162
Thin-Jam Hex Nut 13	HJ-5811
Thin-Jam Hex Nut 14	HJ-5818
Thin-Jam Hex Nut 7	HJ-7161
Thin-Jam Hex Nut 8	HJ-7162
Thin-Jam Hex Nut 12	HJ-9080
Thin-Jam Hex Nut 11	HJ-9161
Hex Nut 5	HN-1024
Hex Nut 6	HN-1032
Hex Nut 16	HN-1213
Hex Nut 17	HN-1220
Hex Nut 7	HN-1224
Hex Nut 8	HN-1420
Hex Nut 9	HN-1428
Hex Nut 22	HN-3410
Hex Nut 23	HN-3416
Hex Nut 12	HN-3816
Hex Nut 13	HN-3824
Hex Nut 1	HN-4402
Hex Nut 10	HN-5161
Hex Nut 11	HN-5162
Hex Nut 2	HN-5400
Hex Nut 20	HN-5811
Hex Nut 21	HN-5818
Hex Nut 3	HN-6320
Hex Nut 14	HN-7161
Hex Nut 15	HN-7162
Hex Nut 4	HN-8320
Hex Nut 18	HN-9161
Hex Nut 19	HN-9168
Handlebar Tube	HT-2981
Head Tube	HT-8019
LL Hub	HU-6280
HL Hub	HU-8998
Keyed Washer	KW-4091
External Lock Washer 3	LE-1000
External Lock Washer 4	LE-1200
External Lock Washer 9	LE-1201
External Lock Washer 5	LE-1400
External Lock Washer 7	LE-3800
External Lock Washer 6	LE-5160
External Lock Washer 1	LE-6000
External Lock Washer 8	LE-7160
External Lock Washer 2	LE-8000
Internal Lock Washer 3	LI-1000
Internal Lock Washer 4	LI-1200
Internal Lock Washer 9	LI-1201
Internal Lock Washer 5	LI-1400
Internal Lock Washer 7	LI-3800
Internal Lock Washer 6	LI-5160
Internal Lock Washer 10	LI-5800
Internal Lock Washer 1	LI-6000
Internal Lock Washer 8	LI-7160
Internal Lock Washer 2	LI-8000
Thin-Jam Lock Nut 9	LJ-1213
Thin-Jam Lock Nut 10	LJ-1220
Thin-Jam Lock Nut 1	LJ-1420
Thin-Jam Lock Nut 2	LJ-1428
Thin-Jam Lock Nut 15	LJ-3410
Thin-Jam Lock Nut 16	LJ-3416
Thin-Jam Lock Nut 5	LJ-3816
Thin-Jam Lock Nut 6	LJ-3824
Thin-Jam Lock Nut 3	LJ-5161
Thin-Jam Lock Nut 4	LJ-5162
Thin-Jam Lock Nut 13	LJ-5811
Thin-Jam Lock Nut 14	LJ-5818
Thin-Jam Lock Nut 7	LJ-7161
Thin-Jam Lock Nut 8	LJ-7162
Thin-Jam Lock Nut 12	LJ-9080
Thin-Jam Lock Nut 11	LJ-9161
Lock Nut 5	LN-1024
Lock Nut 6	LN-1032
Lock Nut 16	LN-1213
Lock Nut 17	LN-1220
Lock Nut 7	LN-1224
Lock Nut 8	LN-1420
Lock Nut 9	LN-1428
Lock Nut 22	LN-3410
Lock Nut 23	LN-3416
Lock Nut 12	LN-3816
Lock Nut 13	LN-3824
Lock Nut 1	LN-4400
Lock Nut 10	LN-5161
Lock Nut 11	LN-5162
Lock Nut 2	LN-5400
Lock Nut 20	LN-5811
Lock Nut 21	LN-5818
Lock Nut 3	LN-6320
Lock Nut 14	LN-7161
Lock Nut 15	LN-7162
Lock Nut 4	LN-8320
Lock Nut 19	LN-9080
Lock Nut 18	LN-9161
Lock Ring	LR-2398
Lower Head Race	LR-8520
Lock Washer 4	LW-1000
Lock Washer 5	LW-1200
Lock Washer 10	LW-1201
Lock Washer 6	LW-1400
Lock Washer 13	LW-3400
Lock Washer 8	LW-3800
Lock Washer 1	LW-4000
Lock Washer 7	LW-5160
Lock Washer 12	LW-5800
Lock Washer 2	LW-6000
Lock Washer 9	LW-7160
Lock Washer 3	LW-8000
Lock Washer 11	LW-9160
Metal Angle	MA-7075
Metal Bar 1	MB-2024
Metal Bar 2	MB-6061
Metal Plate 2	MP-2066
Metal Plate 1	MP-2503
Metal Plate 3	MP-4960
Metal Sheet 2	MS-0253
Metal Sheet 3	MS-1256
Metal Sheet 7	MS-1981
Metal Sheet 4	MS-2259
Metal Sheet 5	MS-2341
Metal Sheet 6	MS-2348
Metal Sheet 1	MS-6061
Metal Tread Plate	MT-1000
LL Nipple	NI-4127
HL Nipple	NI-9522
Paint - Black	PA-187B
Paint - Red	PA-361R
Paint - Silver	PA-529S
Paint - Blue	PA-632U
Paint - Yellow	PA-823Y
Pinch Bolt	PB-6109
Cup-Shaped Race	RA-2345
Cone-Shaped Race	RA-7490
Reflector	RF-9198
LL Mountain Rim	RM-M464
ML Mountain Rim	RM-M692
HL Mountain Rim	RM-M823
LL Road Rim	RM-R436
ML Road Rim	RM-R600
HL Road Rim	RM-R800
Touring Rim	RM-T801
LL Mountain Seat Assembly	SA-M198
ML Mountain Seat Assembly	SA-M237
HL Mountain Seat Assembly	SA-M687
LL Road Seat Assembly	SA-R127
ML Road Seat Assembly	SA-R430
HL Road Seat Assembly	SA-R522
LL Touring Seat Assembly	SA-T467
ML Touring Seat Assembly	SA-T612
HL Touring Seat Assembly	SA-T872
LL Spindle/Axle	SD-2342
HL Spindle/Axle	SD-9872
LL Shell	SH-4562
HL Shell	SH-9312
Spokes	SK-9283
Seat Lug	SL-0931
Stem	SM-9087
Seat Post	SP-2981
Steerer	SR-2098
Seat Stays	SS-2985
Seat Tube	ST-9828
Top Tube	TO-2301
Tension Pulley	TP-0923
Rear Derailleur Cage	RC-0291
HL Road Frame - Black, 58	FR-R92B-58
HL Road Frame - Red, 58	FR-R92R-58
Sport-100 Helmet, Red	HL-U509-R
Sport-100 Helmet, Black	HL-U509
Mountain Bike Socks, M	SO-B909-M
Mountain Bike Socks, L	SO-B909-L
Sport-100 Helmet, Blue	HL-U509-B
AWC Logo Cap	CA-1098
Long-Sleeve Logo Jersey, S	LJ-0192-S
Long-Sleeve Logo Jersey, M	LJ-0192-M
Long-Sleeve Logo Jersey, L	LJ-0192-L
Long-Sleeve Logo Jersey, XL	LJ-0192-X
HL Road Frame - Red, 62	FR-R92R-62
HL Road Frame - Red, 44	FR-R92R-44
HL Road Frame - Red, 48	FR-R92R-48
HL Road Frame - Red, 52	FR-R92R-52
HL Road Frame - Red, 56	FR-R92R-56
LL Road Frame - Black, 58	FR-R38B-58
LL Road Frame - Black, 60	FR-R38B-60
LL Road Frame - Black, 62	FR-R38B-62
LL Road Frame - Red, 44	FR-R38R-44
LL Road Frame - Red, 48	FR-R38R-48
LL Road Frame - Red, 52	FR-R38R-52
LL Road Frame - Red, 58	FR-R38R-58
LL Road Frame - Red, 60	FR-R38R-60
LL Road Frame - Red, 62	FR-R38R-62
ML Road Frame - Red, 44	FR-R72R-44
ML Road Frame - Red, 48	FR-R72R-48
ML Road Frame - Red, 52	FR-R72R-52
ML Road Frame - Red, 58	FR-R72R-58
ML Road Frame - Red, 60	FR-R72R-60
LL Road Frame - Black, 44	FR-R38B-44
LL Road Frame - Black, 48	FR-R38B-48
LL Road Frame - Black, 52	FR-R38B-52
HL Mountain Frame - Silver, 42	FR-M94S-42
HL Mountain Frame - Silver, 44	FR-M94S-44
HL Mountain Frame - Silver, 48	FR-M94S-52
HL Mountain Frame - Silver, 46	FR-M94S-46
HL Mountain Frame - Black, 42	FR-M94B-42
HL Mountain Frame - Black, 44	FR-M94B-44
HL Mountain Frame - Black, 48	FR-M94B-48
HL Mountain Frame - Black, 46	FR-M94B-46
HL Mountain Frame - Black, 38	FR-M94B-38
HL Mountain Frame - Silver, 38	FR-M94S-38
Road-150 Red, 62	BK-R93R-62
Road-150 Red, 44	BK-R93R-44
Road-150 Red, 48	BK-R93R-48
Road-150 Red, 52	BK-R93R-52
Road-150 Red, 56	BK-R93R-56
Road-450 Red, 58	BK-R68R-58
Road-450 Red, 60	BK-R68R-60
Road-450 Red, 44	BK-R68R-44
Road-450 Red, 48	BK-R68R-48
Road-450 Red, 52	BK-R68R-52
Road-650 Red, 58	BK-R50R-58
Road-650 Red, 60	BK-R50R-60
Road-650 Red, 62	BK-R50R-62
